title_type,primary_title,original_title,year,runtime_minutes,genres,simple_title,average_rating,num_votes
movie	Capricious Summer	Rozmarné léto	1968	74	Comedy	capricious summer	6.9	1635
movie	Farewell to the Summer Light	Saraba natsu no hikari	1968	96	Drama,Romance	farewell to the summer light	6.8	266
movie	Last Summer	Last Summer	1969	95	Drama	last summer	6.9	2197
movie	One Brief Summer	One Brief Summer	1971	86	Drama,Romance	one brief summer	5.9	26
movie	The Picasso Summer	The Picasso Summer	1969	90	Adventure,Drama	the picasso summer	5.2	380
movie	Dead of Summer	Ondata di calore	1970	89	Drama,Mystery,Thriller	dead of summer	6.3	121
movie	Erika's Hot Summer	Erika's Hot Summer	1971	65	Drama,Romance	erikas hot summer	4.1	111
movie	Summer Love	Le Mans scorciatoia per l'inferno	1970	92	Action,Crime,Drama	summer love	4.7	77
movie	Summer in the City	Summer in the City	1971	116	Drama	summer in the city	5.8	349
movie	In the Summertime	Durante l'estate	1971	105	Drama,Romance	in the summertime	7.6	71
movie	Summer of '42	Summer of '42	1971	104	Drama,Romance	summer of 42	7.2	9228
movie	Summertree	Summertree	1971	88	Drama	summertree	5.7	380
movie	Dear Summer Sister	Natsu no imôto	1972	96	Comedy,Drama	dear summer sister	6.3	224
movie	Indian Summer	La prima notte di quiete	1972	132	Drama,Romance	indian summer	7.2	2689
movie	Raid in the Summer	Strandhugg i somras	1972	88	Drama	raid in the summer	4.3	69
movie	Summer Soldiers	Samâ sorujâ	1972	107	Drama,War	summer soldiers	6.3	172
tvMovie	That Certain Summer	That Certain Summer	1972	73	Drama	that certain summer	7.7	499
movie	Summertime Killer	Un verano para matar	1972	110	Action,Crime,Drama	summertime killer	6	465
movie	Blue Summer	Blue Summer	1973	79	Comedy,Drama	blue summer	4.4	486
movie	One Russian Summer	Fury	1973	112	Drama,History	one russian summer	5.4	407
movie	Summer Wishes, Winter Dreams	Summer Wishes, Winter Dreams	1973	93	Drama	summer wishes winter dreams	6.4	874
tvMovie	A Summer Without Boys	A Summer Without Boys	1973	74	Drama,Romance,War	a summer without boys	7	115
movie	Temptation in the Summer Wind	Versuchung im Sommerwind	1972	81	Comedy	temptation in the summer wind	8.1	26
movie	Harrad Summer	Harrad Summer	1974	103	Drama	harrad summer	4.1	133
movie	Hot Summer in Barefoot County	Hot Summer in Barefoot County	1974	90	Action,Comedy	hot summer in barefoot county	3.6	229
movie	Malibu Hot Summer	Malibu Hot Summer	1981	90	Comedy,Romance	malibu hot summer	2.7	871
movie	Summer Guests	Sommergäste	1976	115	Drama	summer guests	7.6	69
movie	Summer School Teachers	Summer School Teachers	1975	85	Romance,Thriller	summer school teachers	4.4	335
movie	Echoes of a Summer	Echoes of a Summer	1976	99	Drama	echoes of a summer	6.4	489
movie	Summer with a Cowboy	Léto s kovbojem	1976	90	Comedy,Romance	summer with a cowboy	6.7	227
movie	Summer of Secrets	Summer of Secrets	1976	100	Comedy,Mystery,Sci-Fi	summer of secrets	5.3	57
movie	Summer	Suvi	1976	81	Comedy,Drama	summer	7.7	793
movie	Summer Paradise	Paradistorg	1977	113	Drama	summer paradise	6	153
movie	Shadows of a Hot Summer	Stíny horkého léta	1978	100	Drama,Thriller	shadows of a hot summer	7.4	336
movie	Summer Affair	Il sole nella pelle	1971	91	Drama,Romance	summer affair	5.5	234
movie	Summer City	Summer City	1977	83	Drama,Thriller	summer city	3.9	765
movie	Summerfield	Summerfield	1977	95	Drama,Mystery,Thriller	summerfield	6.8	415
tvMovie	Things We Did Last Summer	Things We Did Last Summer	1978	50	Comedy,Music	things we did last summer	6.8	121
movie	Almost Summer	Almost Summer	1978	88	Comedy	almost summer	5.7	353
movie	Corvette Summer	Corvette Summer	1978	105	Adventure,Comedy	corvette summer	5.7	3933
tvMovie	Summer of Fear	Stranger in Our House	1978	98	Horror,Thriller	summer of fear	5.5	3092
movie	Summer Night Fever	Summer Night Fever	1978	103	Comedy	summer night fever	4.5	257
tvMovie	Summer of My German Soldier	Summer of My German Soldier	1978	100	Drama,Romance,War	summer of my german soldier	7.8	466
movie	A Summer of Love	En kärleks sommar	1979	98	Romance	a summer of love	5.3	95
movie	Summer Camp	Summer Camp	1979	85	Comedy	summer camp	3.7	574
movie	That Summer!	That Summer!	1979	94	Drama	that summer	6.4	161
